origin,destination,airline,direct_departure_ts,price
BCN,PAR,AF,2025-12-07 05:00:00,16915
BCN,PAR,AF,2025-12-07 16:55:00,11047
BCN,PAR,AF,2025-12-06 08:55:00,53250
BCN,PAR,AF,2025-12-03 17:05:00,26048
BCN,PAR,AF,2025-12-03 05:00:00,104390
BCN,PAR,AF,2025-12-03 11:15:00,21284
BCN,PAR,AF,2025-12-06 17:05:00,41046
BCN,PAR,AF,2025-12-07 19:20:00,12700
BCN,PAR,AF,2025-12-06 14:05:00,32699
BCN,PAR,AF,2025-12-06 11:15:00,37056
BCN,PAR,AF,2025-12-07 11:15:00,10165
BCN,PAR,AF,2025-12-07 08:55:00,12905
BCN,PAR,AF,2025-12-06 05:00:00,131624
BCN,PAR,AF,2025-12-07 14:05:00,9725
BCN,PAR,AF,2025-12-03 08:55:00,44567
BCN,PAR,AF,2025-12-03 19:20:00,25108
