origin,destination,airline,direct_departure_ts,price
BCN,PAR,TO,2025-11-15 19:45:00,4635
BCN,PAR,TO,2025-11-16 19:45:00,13230
BCN,PAR,TO,2025-11-22 08:15:00,4645
BCN,PAR,TO,2025-11-21 13:20:00,10232
BCN,PAR,TO,2025-11-18 08:30:00,5648
BCN,PAR,TO,2025-11-14 07:45:00,9113
BCN,PAR,TO,2025-11-15 18:25:00,3393
BCN,PAR,TO,2025-11-17 10:30:00,6678
BCN,PAR,TO,2025-11-19 15:45:00,5498
BCN,PAR,TO,2025-11-17 19:45:00,4635
BCN,PAR,TO,2025-11-22 19:45:00,2662
BCN,PAR,TO,2025-11-16 07:40:00,5474
BCN,PAR,TO,2025-11-14 19:50:00,5621
BCN,PAR,TO,2025-11-16 14:15:00,10186
BCN,PAR,TO,2025-11-13 19:50:00,7834
BCN,PAR,TO,2025-11-18 19:45:00,5648
BCN,PAR,TO,2025-11-13 12:45:00,9022
BCN,PAR,TO,2025-11-21 19:50:00,4646
BCN,PAR,TO,2025-11-15 08:15:00,4635
BCN,PAR,TO,2025-11-13 08:40:00,9022
BCN,PAR,TO,2025-11-17 09:05:00,5474
BCN,PAR,TO,2025-11-14 13:20:00,6678
BCN,PAR,TO,2025-11-19 19:50:00,3251
