origin,destination,airline,direct_departure_ts,price
BCN,PAR,VY,2025-11-03 06:50:00,21294
BCN,PAR,VY,2025-11-03 13:05:00,37123
BCN,PAR,VY,2025-11-04 09:50:00,13197
BCN,PAR,VY,2025-11-06 18:20:00,7053
BCN,PAR,VY,2025-10-30 11:40:00,36349
BCN,PAR,VY,2025-10-31 19:20:00,26199
BCN,PAR,VY,2025-10-31 18:20:00,34998
BCN,PAR,VY,2025-11-06 04:50:00,5750
BCN,PAR,VY,2025-11-02 18:20:00,24096
BCN,PAR,VY,2025-10-30 13:35:00,35174
BCN,PAR,VY,2025-11-02 11:35:00,24057
BCN,PAR,VY,2025-11-01 09:55:00,18817
BCN,PAR,VY,2025-11-03 06:00:00,17769
BCN,PAR,VY,2025-11-04 06:50:00,17008
BCN,PAR,VY,2025-11-03 19:25:00,21294
BCN,PAR,VY,2025-11-06 07:55:00,9170
BCN,PAR,VY,2025-11-06 14:30:00,11354
BCN,PAR,VY,2025-11-05 06:50:00,14204
BCN,PAR,VY,2025-11-04 18:20:00,12530
BCN,PAR,VY,2025-11-01 14:25:00,37198
BCN,PAR,VY,2025-11-07 13:55:00,7957
BCN,PAR,VY,2025-11-01 19:05:00,21294
BCN,PAR,VY,2025-11-01 18:20:00,23677
BCN,PAR,VY,2025-10-31 04:50:00,19704
BCN,PAR,VY,2025-11-04 06:00:00,12530
BCN,PAR,VY,2025-11-08 04:50:00,7957
BCN,PAR,VY,2025-10-30 18:20:00,33242
BCN,PAR,VY,2025-11-08 06:50:00,6316
BCN,PAR,VY,2025-11-06 06:50:00,5750
BCN,PAR,VY,2025-11-04 04:50:00,12412
BCN,PAR,VY,2025-11-02 11:40:00,35391
BCN,PAR,VY,2025-11-06 06:00:00,7053
BCN,PAR,VY,2025-11-03 13:45:00,16054
BCN,PAR,VY,2025-11-03 04:50:00,18817
BCN,PAR,VY,2025-10-30 13:05:00,38113
BCN,PAR,VY,2025-11-08 08:25:00,6778
BCN,PAR,VY,2025-11-06 13:05:00,7364
BCN,PAR,VY,2025-11-01 06:50:00,21294
BCN,PAR,VY,2025-11-05 04:50:00,8102
BCN,PAR,VY,2025-10-31 13:20:00,34998
BCN,PAR,VY,2025-10-31 17:10:00,36222
BCN,PAR,VY,2025-11-07 18:20:00,7386
BCN,PAR,VY,2025-11-08 14:25:00,6500
BCN,PAR,VY,2025-11-06 11:40:00,8747
BCN,PAR,VY,2025-11-05 11:40:00,12495
BCN,PAR,VY,2025-11-02 08:05:00,20378
BCN,PAR,VY,2025-10-31 11:50:00,24716
BCN,PAR,VY,2025-10-30 06:50:00,50492
BCN,PAR,VY,2025-11-06 19:45:00,9834
BCN,PAR,VY,2025-11-07 13:20:00,8529
BCN,PAR,VY,2025-11-03 08:05:00,25104
BCN,PAR,VY,2025-11-05 06:00:00,8747
BCN,PAR,VY,2025-11-08 19:05:00,3823
BCN,PAR,VY,2025-11-01 19:15:00,18817
BCN,PAR,VY,2025-10-30 14:30:00,38113
BCN,PAR,VY,2025-11-01 13:25:00,25104
BCN,PAR,VY,2025-11-05 19:35:00,9203
BCN,PAR,VY,2025-11-08 13:25:00,5766
BCN,PAR,VY,2025-11-07 06:00:00,12530
BCN,PAR,VY,2025-11-01 08:25:00,25104
BCN,PAR,VY,2025-10-31 06:50:00,22246
BCN,PAR,VY,2025-11-07 19:20:00,9590
BCN,PAR,VY,2025-11-04 11:40:00,11669
BCN,PAR,VY,2025-11-08 09:55:00,4417
BCN,PAR,VY,2025-11-08 19:15:00,4325
BCN,PAR,VY,2025-11-05 13:20:00,9170
BCN,PAR,VY,2025-11-05 14:30:00,8732
BCN,PAR,VY,2025-11-05 18:20:00,9417
BCN,PAR,VY,2025-11-05 08:05:00,15438
BCN,PAR,VY,2025-11-06 13:20:00,9170
BCN,PAR,VY,2025-11-01 11:40:00,23677
BCN,PAR,VY,2025-10-31 13:55:00,34998
BCN,PAR,VY,2025-11-05 15:15:00,8747
BCN,PAR,VY,2025-11-07 04:50:00,11388
BCN,PAR,VY,2025-11-07 17:10:00,9235
BCN,PAR,VY,2025-11-02 13:05:00,24057
BCN,PAR,VY,2025-11-04 07:55:00,25099
BCN,PAR,VY,2025-11-03 18:20:00,18067
BCN,PAR,VY,2025-11-07 11:50:00,10910
BCN,PAR,VY,2025-10-31 06:00:00,36222
BCN,PAR,VY,2025-11-02 06:50:00,18083
BCN,PAR,VY,2025-11-02 13:55:00,24057
BCN,PAR,VY,2025-11-08 11:40:00,6148
BCN,PAR,VY,2025-11-02 19:45:00,35000
BCN,PAR,VY,2025-11-07 06:50:00,9862
BCN,PAR,VY,2025-11-03 14:30:00,25104
BCN,PAR,VY,2025-10-31 08:25:00,26199
BCN,PAR,VY,2025-11-02 06:00:00,20050
BCN,PAR,VY,2025-11-01 04:50:00,33583
BCN,PAR,VY,2025-11-08 18:20:00,4325
BCN,PAR,VY,2025-11-07 08:25:00,11388
BCN,PAR,VY,2025-10-30 07:55:00,38843
BCN,PAR,VY,2025-10-30 19:45:00,38427
BCN,PAR,VY,2025-11-04 19:45:00,21289
BCN,PAR,VY,2025-11-03 11:40:00,23677
BCN,PAR,VY,2025-11-04 13:45:00,21294
