origin,destination,airline,direct_departure_ts,price
HKT,BKK,DD,2025-10-31 23:45:00,4991
HKT,BKK,DD,2025-11-04 11:20:00,10681
HKT,BKK,DD,2025-11-07 04:30:00,4521
HKT,BKK,DD,2025-10-30 23:35:00,6635
HKT,BKK,DD,2025-11-06 04:30:00,4342
HKT,BKK,DD,2025-11-07 08:45:00,3930
HKT,BKK,DD,2025-11-03 23:45:00,2733
HKT,BKK,DD,2025-11-02 08:45:00,5732
HKT,BKK,DD,2025-11-02 12:35:00,4500
HKT,BKK,DD,2025-11-05 08:45:00,4013
HKT,BKK,DD,2025-11-03 04:30:00,3506
HKT,BKK,DD,2025-11-04 03:45:00,4564
HKT,BKK,DD,2025-10-31 04:30:00,7499
HKT,BKK,DD,2025-10-30 11:50:00,5223
HKT,BKK,DD,2025-11-06 01:30:00,3278
HKT,BKK,DD,2025-11-07 12:35:00,2985
HKT,BKK,DD,2025-11-06 23:35:00,2985
HKT,BKK,DD,2025-11-04 04:30:00,11826
HKT,BKK,DD,2025-11-05 23:45:00,2724
HKT,BKK,DD,2025-11-08 04:30:00,4119
HKT,BKK,DD,2025-11-01 12:35:00,4012
HKT,BKK,DD,2025-11-05 04:30:00,4500
HKT,BKK,DD,2025-10-31 08:45:00,10134
HKT,BKK,DD,2025-11-04 11:40:00,2991
HKT,BKK,DD,2025-10-30 01:30:00,13166
HKT,BKK,DD,2025-11-06 12:35:00,2724
HKT,BKK,DD,2025-11-02 04:30:00,11253
HKT,BKK,DD,2025-11-01 11:20:00,4012
HKT,BKK,DD,2025-11-04 13:55:00,2733
HKT,BKK,DD,2025-11-08 11:20:00,2985
HKT,BKK,DD,2025-11-04 12:35:00,10681
HKT,BKK,DD,2025-11-06 11:20:00,2930
HKT,BKK,DD,2025-10-31 12:45:00,7499
HKT,BKK,DD,2025-11-08 12:35:00,2731
HKT,BKK,DD,2025-11-01 23:35:00,13439
HKT,BKK,DD,2025-11-03 12:35:00,2989
HKT,BKK,DD,2025-11-02 13:40:00,4521
HKT,BKK,DD,2025-11-02 23:45:00,3506
HKT,BKK,DD,2025-11-07 14:15:00,2733
HKT,BKK,DD,2025-10-31 12:35:00,13943
HKT,BKK,DD,2025-11-04 23:35:00,2969
HKT,BKK,DD,2025-11-05 12:35:00,2969
HKT,BKK,DD,2025-11-07 23:45:00,2731
HKT,BKK,DD,2025-11-03 08:45:00,3506
HKT,BKK,DD,2025-11-06 06:45:00,3633
HKT,BKK,DD,2025-10-30 04:30:00,7232
HKT,BKK,DD,2025-10-30 13:55:00,5223
