origin,destination,airline,direct_departure_ts,price
HKT,BKK,FD,2025-12-07 15:20:00,3196
HKT,BKK,FD,2025-12-01 11:05:00,3495
HKT,BKK,FD,2025-12-02 10:25:00,2634
HKT,BKK,FD,2025-12-08 08:30:00,3495
HKT,BKK,FD,2025-12-02 14:05:00,2634
HKT,BKK,FD,2025-12-06 10:25:00,7867
HKT,BKK,FD,2025-12-01 09:50:00,5935
HKT,BKK,FD,2025-12-08 15:20:00,2519
HKT,BKK,FD,2025-11-29 09:50:00,2640
HKT,BKK,FD,2025-12-08 06:20:00,6801
HKT,BKK,FD,2025-12-05 08:30:00,7328
HKT,BKK,FD,2025-11-29 13:45:00,2313
HKT,BKK,FD,2025-11-30 16:10:00,2306
HKT,BKK,FD,2025-12-06 09:20:00,6830
HKT,BKK,FD,2025-12-02 00:30:00,2634
HKT,BKK,FD,2025-12-03 06:20:00,3496
HKT,BKK,FD,2025-11-30 13:45:00,2864
HKT,BKK,FD,2025-11-30 02:40:00,6728
HKT,BKK,FD,2025-12-01 09:20:00,3001
HKT,BKK,FD,2025-11-29 15:20:00,2507
HKT,BKK,FD,2025-12-08 07:20:00,3656
HKT,BKK,FD,2025-12-04 11:05:00,3190
HKT,BKK,FD,2025-12-01 08:30:00,5935
HKT,BKK,FD,2025-12-07 13:25:00,7450
HKT,BKK,FD,2025-12-08 09:20:00,3617
HKT,BKK,FD,2025-12-07 23:30:00,2872
HKT,BKK,FD,2025-12-02 04:45:00,2997
HKT,BKK,FD,2025-12-05 04:45:00,7328
HKT,BKK,FD,2025-11-29 04:45:00,5947
HKT,BKK,FD,2025-12-08 16:10:00,2336
HKT,BKK,FD,2025-12-01 13:00:00,3001
HKT,BKK,FD,2025-12-02 06:20:00,3481
HKT,BKK,FD,2025-12-08 13:00:00,2654
HKT,BKK,FD,2025-12-03 10:25:00,3012
HKT,BKK,FD,2025-12-06 11:05:00,6830
HKT,BKK,FD,2025-11-29 14:05:00,2643
HKT,BKK,FD,2025-12-01 14:55:00,2321
HKT,BKK,FD,2025-12-05 07:20:00,3899
HKT,BKK,FD,2025-12-02 15:20:00,2512
HKT,BKK,FD,2025-11-30 00:30:00,2622
HKT,BKK,FD,2025-11-30 04:45:00,6728
HKT,BKK,FD,2025-12-06 07:20:00,8124
HKT,BKK,FD,2025-12-04 14:05:00,3024
HKT,BKK,FD,2025-12-05 09:50:00,3933
HKT,BKK,FD,2025-12-05 13:25:00,3240
HKT,BKK,FD,2025-12-01 13:25:00,3001
HKT,BKK,FD,2025-11-29 01:55:00,2643
HKT,BKK,FD,2025-12-06 03:00:00,16550
HKT,BKK,FD,2025-12-07 14:55:00,3584
HKT,BKK,FD,2025-11-29 16:10:00,2313
HKT,BKK,FD,2025-12-06 02:20:00,7867
HKT,BKK,FD,2025-11-30 23:30:00,2924
HKT,BKK,FD,2025-12-01 03:00:00,3619
HKT,BKK,FD,2025-12-07 03:00:00,7450
HKT,BKK,FD,2025-11-29 00:35:00,2643
HKT,BKK,FD,2025-12-07 07:20:00,3839
HKT,BKK,FD,2025-12-07 13:45:00,3584
HKT,BKK,FD,2025-12-01 15:20:00,3001
HKT,BKK,FD,2025-11-29 03:00:00,3611
HKT,BKK,FD,2025-12-08 14:55:00,2336
HKT,BKK,FD,2025-12-01 01:55:00,3001
HKT,BKK,FD,2025-12-03 02:20:00,3160
HKT,BKK,FD,2025-12-07 09:50:00,7227
HKT,BKK,FD,2025-12-05 13:45:00,3106
HKT,BKK,FD,2025-12-05 03:00:00,3899
HKT,BKK,FD,2025-12-08 09:50:00,3495
HKT,BKK,FD,2025-12-04 04:45:00,3704
HKT,BKK,FD,2025-12-02 09:20:00,2997
HKT,BKK,FD,2025-11-30 02:00:00,2973
HKT,BKK,FD,2025-12-04 08:30:00,3190
HKT,BKK,FD,2025-12-03 13:00:00,2805
HKT,BKK,FD,2025-11-29 09:20:00,3004
HKT,BKK,FD,2025-12-03 07:20:00,3001
HKT,BKK,FD,2025-12-03 14:55:00,2890
HKT,BKK,FD,2025-11-29 06:20:00,3489
HKT,BKK,FD,2025-12-02 16:10:00,2318
HKT,BKK,FD,2025-12-03 16:10:00,2321
HKT,BKK,FD,2025-12-04 07:40:00,3190
HKT,BKK,FD,2025-12-01 04:45:00,5935
HKT,BKK,FD,2025-12-04 15:20:00,2673
HKT,BKK,FD,2025-11-29 11:05:00,2640
HKT,BKK,FD,2025-12-03 00:30:00,3012
HKT,BKK,FD,2025-12-03 03:00:00,3001
HKT,BKK,FD,2025-12-02 02:20:00,2997
HKT,BKK,FD,2025-12-05 02:20:00,3933
HKT,BKK,FD,2025-12-05 09:20:00,7537
HKT,BKK,FD,2025-12-02 11:05:00,2634
HKT,BKK,FD,2025-12-03 13:25:00,2637
HKT,BKK,FD,2025-11-30 08:30:00,6728
HKT,BKK,FD,2025-12-03 09:50:00,3496
HKT,BKK,FD,2025-12-05 23:30:00,6830
HKT,BKK,FD,2025-11-30 10:25:00,3687
HKT,BKK,FD,2025-12-06 06:20:00,7867
HKT,BKK,FD,2025-12-08 13:45:00,2897
HKT,BKK,FD,2025-12-03 08:30:00,3496
HKT,BKK,FD,2025-12-08 02:20:00,3007
HKT,BKK,FD,2025-11-30 03:00:00,2973
HKT,BKK,FD,2025-12-01 07:20:00,6105
HKT,BKK,FD,2025-12-04 13:00:00,3190
HKT,BKK,FD,2025-12-04 10:25:00,3190
HKT,BKK,FD,2025-12-07 02:40:00,7227
HKT,BKK,FD,2025-12-08 04:45:00,3723
HKT,BKK,FD,2025-12-03 02:00:00,3160
HKT,BKK,FD,2025-12-01 06:20:00,5935
HKT,BKK,FD,2025-12-07 02:00:00,3712
HKT,BKK,FD,2025-11-30 07:20:00,7480
HKT,BKK,FD,2025-12-08 01:55:00,3495
HKT,BKK,FD,2025-12-02 13:00:00,2634
HKT,BKK,FD,2025-11-29 08:30:00,3004
HKT,BKK,FD,2025-12-02 03:00:00,3602
HKT,BKK,FD,2025-12-03 15:20:00,2515
HKT,BKK,FD,2025-11-30 09:20:00,6921
HKT,BKK,FD,2025-12-05 06:20:00,7328
HKT,BKK,FD,2025-11-30 09:50:00,3533
HKT,BKK,FD,2025-12-08 13:25:00,2641
HKT,BKK,FD,2025-12-08 00:30:00,2654
HKT,BKK,FD,2025-12-04 00:30:00,2801
HKT,BKK,FD,2025-12-06 07:40:00,7867
HKT,BKK,FD,2025-12-07 16:10:00,3063
HKT,BKK,FD,2025-11-28 23:30:00,2643
HKT,BKK,FD,2025-12-05 02:00:00,4079
HKT,BKK,FD,2025-12-08 03:00:00,3617
HKT,BKK,FD,2025-12-02 23:30:00,2805
HKT,BKK,FD,2025-12-06 01:55:00,6913
HKT,BKK,FD,2025-12-04 06:20:00,3704
HKT,BKK,FD,2025-11-29 23:30:00,2622
HKT,BKK,FD,2025-12-04 09:50:00,3190
HKT,BKK,FD,2025-12-01 16:10:00,2321
HKT,BKK,FD,2025-12-02 07:20:00,2997
HKT,BKK,FD,2025-12-05 13:00:00,3240
HKT,BKK,FD,2025-12-06 23:30:00,3196
HKT,BKK,FD,2025-12-04 03:00:00,4058
HKT,BKK,FD,2025-11-29 10:25:00,2640
HKT,BKK,FD,2025-12-05 15:20:00,2715
HKT,BKK,FD,2025-12-06 00:30:00,6053
HKT,BKK,FD,2025-12-05 00:30:00,3766
HKT,BKK,FD,2025-12-05 11:05:00,3415
HKT,BKK,FD,2025-12-06 13:00:00,6830
HKT,BKK,FD,2025-12-07 00:30:00,3712
HKT,BKK,FD,2025-12-01 10:25:00,3498
HKT,BKK,FD,2025-12-06 14:55:00,6572
HKT,BKK,FD,2025-12-08 10:25:00,3007
HKT,BKK,FD,2025-12-07 11:05:00,7227
HKT,BKK,FD,2025-12-04 02:20:00,3190
HKT,BKK,FD,2025-12-06 09:50:00,7867
HKT,BKK,FD,2025-12-06 13:45:00,6572
HKT,BKK,FD,2025-11-29 07:40:00,3489
HKT,BKK,FD,2025-12-01 00:30:00,2637
HKT,BKK,FD,2025-12-06 16:10:00,6572
HKT,BKK,FD,2025-12-07 06:20:00,7227
HKT,BKK,FD,2025-12-03 09:20:00,3001
HKT,BKK,FD,2025-12-07 10:25:00,7227
HKT,BKK,FD,2025-12-05 10:25:00,3543
HKT,BKK,FD,2025-12-02 08:30:00,2997
HKT,BKK,FD,2025-12-03 11:05:00,3012
HKT,BKK,FD,2025-12-08 11:05:00,3495
HKT,BKK,FD,2025-12-06 14:05:00,6830
HKT,BKK,FD,2025-12-03 23:30:00,2801
HKT,BKK,FD,2025-12-01 02:20:00,3498
HKT,BKK,FD,2025-12-04 09:20:00,4058
HKT,BKK,FD,2025-12-02 07:40:00,2997
HKT,BKK,FD,2025-12-07 04:45:00,7227
HKT,BKK,FD,2025-12-07 13:00:00,3712
HKT,BKK,FD,2025-12-04 16:10:00,2467
HKT,BKK,FD,2025-11-30 13:25:00,2642
HKT,BKK,FD,2025-12-01 23:30:00,2634
HKT,BKK,FD,2025-12-04 14:55:00,2467
HKT,BKK,FD,2025-11-29 13:00:00,2640
HKT,BKK,FD,2025-12-03 13:45:00,2889
HKT,BKK,FD,2025-11-29 07:20:00,3844
HKT,BKK,FD,2025-12-02 14:55:00,2318
HKT,BKK,FD,2025-12-04 23:30:00,3766
HKT,BKK,FD,2025-12-01 13:45:00,2560
HKT,BKK,FD,2025-11-30 15:20:00,2500
HKT,BKK,FD,2025-11-30 13:00:00,2973
HKT,BKK,FD,2025-11-29 02:20:00,3004
HKT,BKK,FD,2025-12-07 08:30:00,7227
HKT,BKK,FD,2025-12-03 04:45:00,3496
HKT,BKK,FD,2025-12-06 04:45:00,8675
HKT,BKK,FD,2025-12-06 08:30:00,7867
HKT,BKK,FD,2025-12-02 01:40:00,2634
HKT,BKK,FD,2025-12-04 07:20:00,3202
HKT,BKK,FD,2025-12-04 01:55:00,3190
HKT,BKK,FD,2025-12-05 14:55:00,3106
HKT,BKK,FD,2025-12-05 16:10:00,2508
HKT,BKK,FD,2025-12-02 13:45:00,2318
HKT,BKK,FD,2025-11-30 14:55:00,2306
HKT,BKK,FD,2025-12-04 13:45:00,3061
HKT,BKK,FD,2025-12-02 09:50:00,2997
HKT,BKK,FD,2025-11-29 14:55:00,2313
HKT,BKK,FD,2025-12-06 15:20:00,5796
HKT,BKK,FD,2025-12-07 09:20:00,3839
