origin,destination,airline,direct_departure_ts,price
HKT,BKK,TG,2025-12-07 10:10:00,9746
HKT,BKK,TG,2025-11-29 10:10:00,5618
HKT,BKK,TG,2025-12-06 04:50:00,11252
HKT,BKK,TG,2025-12-02 02:50:00,5629
HKT,BKK,TG,2025-11-29 13:40:00,5618
HKT,BKK,TG,2025-12-06 12:25:00,11252
HKT,BKK,TG,2025-12-01 06:40:00,17860
HKT,BKK,TG,2025-12-04 06:40:00,13942
HKT,BKK,TG,2025-12-01 03:25:00,5595
HKT,BKK,TG,2025-12-05 12:25:00,5632
HKT,BKK,TG,2025-12-05 09:05:00,10800
HKT,BKK,TG,2025-12-03 06:40:00,6323
HKT,BKK,TG,2025-12-04 13:40:00,5618
HKT,BKK,TG,2025-11-29 06:40:00,13877
HKT,BKK,TG,2025-11-29 09:05:00,13877
HKT,BKK,TG,2025-12-05 04:50:00,8857
HKT,BKK,TG,2025-12-08 03:25:00,5632
HKT,BKK,TG,2025-12-05 10:10:00,5632
HKT,BKK,TG,2025-11-30 03:25:00,5619
HKT,BKK,TG,2025-12-03 04:50:00,5631
HKT,BKK,TG,2025-12-07 06:40:00,17884
HKT,BKK,TG,2025-12-02 13:40:00,5629
HKT,BKK,TG,2025-12-01 00:45:00,5202
HKT,BKK,TG,2025-12-03 03:25:00,5631
HKT,BKK,TG,2025-11-30 02:50:00,5619
HKT,BKK,TG,2025-12-03 02:50:00,5631
HKT,BKK,TG,2025-12-08 02:50:00,5632
HKT,BKK,TG,2025-12-04 09:05:00,5618
HKT,BKK,TG,2025-11-29 03:25:00,7827
HKT,BKK,TG,2025-12-07 12:25:00,6903
HKT,BKK,TG,2025-12-08 09:05:00,10715
HKT,BKK,TG,2025-12-02 12:25:00,5629
HKT,BKK,TG,2025-12-05 02:50:00,6929
HKT,BKK,TG,2025-12-06 03:25:00,11252
HKT,BKK,TG,2025-11-29 04:50:00,7827
HKT,BKK,TG,2025-12-02 00:45:00,4658
HKT,BKK,TG,2025-12-08 12:25:00,5632
HKT,BKK,TG,2025-12-02 03:25:00,5629
HKT,BKK,TG,2025-12-08 04:50:00,10715
HKT,BKK,TG,2025-12-04 02:50:00,5618
HKT,BKK,TG,2025-12-06 13:40:00,17645
HKT,BKK,TG,2025-11-30 13:40:00,14132
HKT,BKK,TG,2025-12-07 09:05:00,13919
HKT,BKK,TG,2025-11-30 10:10:00,8886
HKT,BKK,TG,2025-12-03 10:10:00,5631
HKT,BKK,TG,2025-12-02 04:50:00,5629
HKT,BKK,TG,2025-12-07 00:45:00,6663
HKT,BKK,TG,2025-12-08 10:10:00,5632
HKT,BKK,TG,2025-12-01 04:50:00,10683
HKT,BKK,TG,2025-12-07 03:25:00,6270
HKT,BKK,TG,2025-12-07 02:50:00,6270
HKT,BKK,TG,2025-12-06 06:40:00,13906
HKT,BKK,TG,2025-11-30 12:25:00,6929
HKT,BKK,TG,2025-12-01 13:40:00,5565
HKT,BKK,TG,2025-12-08 06:40:00,8857
HKT,BKK,TG,2025-12-02 09:05:00,5629
HKT,BKK,TG,2025-12-06 10:10:00,11252
HKT,BKK,TG,2025-12-06 09:05:00,11252
HKT,BKK,TG,2025-12-01 02:50:00,5595
HKT,BKK,TG,2025-12-06 02:50:00,11252
HKT,BKK,TG,2025-12-04 10:10:00,5618
HKT,BKK,TG,2025-11-29 02:50:00,6307
HKT,BKK,TG,2025-11-30 06:40:00,10715
HKT,BKK,TG,2025-12-02 10:10:00,5629
HKT,BKK,TG,2025-12-03 09:05:00,5631
HKT,BKK,TG,2025-12-01 09:05:00,8851
HKT,BKK,TG,2025-11-30 04:50:00,6929
HKT,BKK,TG,2025-12-08 13:40:00,5632
HKT,BKK,TG,2025-12-04 03:25:00,5618
HKT,BKK,TG,2025-12-07 13:40:00,10700
HKT,BKK,TG,2025-12-05 03:25:00,6324
HKT,BKK,TG,2025-12-06 00:45:00,12144
HKT,BKK,TG,2025-12-05 06:40:00,10715
HKT,BKK,TG,2025-12-07 04:50:00,10700
HKT,BKK,TG,2025-12-03 12:25:00,5631
HKT,BKK,TG,2025-12-01 10:10:00,5565
HKT,BKK,TG,2025-12-04 04:50:00,5618
HKT,BKK,TG,2025-12-04 12:25:00,5618
HKT,BKK,TG,2025-12-02 06:40:00,13942
HKT,BKK,TG,2025-12-01 12:25:00,5565
HKT,BKK,TG,2025-11-29 12:25:00,8839
HKT,BKK,TG,2025-11-30 09:05:00,13939
HKT,BKK,TG,2025-12-05 13:40:00,5632
HKT,BKK,TG,2025-12-03 13:40:00,5631
HKT,BKK,TG,2025-12-05 00:45:00,6042
