origin,destination,airline,direct_departure_ts,price
LED,AER,FV,2026-01-02 15:05:00,33958
LED,AER,FV,2026-01-02 12:15:00,28505
LED,AER,FV,2026-01-06 03:35:00,16374
LED,AER,FV,2026-01-07 03:35:00,16462
LED,AER,FV,2026-01-05 03:35:00,18128
LED,AER,FV,2026-01-01 03:35:00,24031
LED,AER,FV,2026-01-02 03:35:00,28451
LED,AER,FV,2025-12-30 15:50:00,33798
LED,AER,FV,2026-01-07 15:05:00,16462
LED,AER,FV,2026-01-03 12:15:00,33861
LED,AER,FV,2025-12-31 03:35:00,33843
LED,AER,FV,2026-01-04 03:35:00,20287
LED,AER,FV,2026-01-04 08:30:00,20370
LED,AER,FV,2025-12-30 12:15:00,33818
LED,AER,FV,2026-01-01 15:05:00,24064
LED,AER,FV,2026-01-06 15:10:00,16462
LED,AER,FV,2026-01-04 15:05:00,18378
LED,AER,FV,2026-01-07 09:05:00,16462
LED,AER,FV,2025-12-29 03:35:00,28271
LED,AER,FV,2026-01-05 12:15:00,19167
LED,AER,FV,2026-01-03 15:05:00,33958
LED,AER,FV,2026-01-05 15:05:00,17424
LED,AER,FV,2025-12-29 08:50:00,24031
LED,AER,FV,2025-12-29 12:15:00,24064
LED,AER,FV,2026-01-07 12:15:00,16462
LED,AER,FV,2025-12-31 10:00:00,33818
LED,AER,FV,2026-01-01 12:15:00,28271
LED,AER,FV,2025-12-30 08:55:00,33818
LED,AER,FV,2026-01-03 03:35:00,28493
LED,AER,FV,2026-01-04 12:15:00,20369
LED,AER,FV,2025-12-30 03:35:00,33818
LED,AER,FV,2026-01-06 12:15:00,16374
LED,AER,FV,2025-12-29 15:05:00,28271
