origin,destination,airline,direct_departure_ts,price
LED,AER,SU,2025-11-06 12:15:00,4818
LED,AER,SU,2025-11-06 15:05:00,4818
LED,AER,SU,2025-10-31 15:05:00,16297
LED,AER,SU,2025-11-03 15:05:00,6978
LED,AER,SU,2025-11-04 08:05:00,6978
LED,AER,SU,2025-11-03 12:15:00,17248
LED,AER,SU,2025-11-01 03:35:00,9378
LED,AER,SU,2025-11-02 06:35:00,9378
LED,AER,SU,2025-11-01 15:05:00,18249
LED,AER,SU,2025-11-06 06:35:00,4818
LED,AER,SU,2025-11-04 10:15:00,6978
LED,AER,SU,2025-11-05 08:05:00,6978
LED,AER,SU,2025-11-01 06:35:00,9378
LED,AER,SU,2025-11-08 12:15:00,4818
LED,AER,SU,2025-11-03 08:05:00,6978
LED,AER,SU,2025-11-04 15:05:00,4818
LED,AER,SU,2025-11-04 12:15:00,16218
LED,AER,SU,2025-11-02 03:35:00,9378
LED,AER,SU,2025-10-30 12:15:00,16318
LED,AER,SU,2025-11-02 10:15:00,9378
LED,AER,SU,2025-11-06 03:35:00,4818
LED,AER,SU,2025-11-08 08:05:00,6978
LED,AER,SU,2025-11-05 06:35:00,6978
LED,AER,SU,2025-11-02 12:15:00,9378
LED,AER,SU,2025-11-02 15:05:00,6978
LED,AER,SU,2025-10-31 12:15:00,9506
LED,AER,SU,2025-11-05 10:15:00,16213
LED,AER,SU,2025-11-07 03:35:00,4818
LED,AER,SU,2025-11-07 08:05:00,4818
LED,AER,SU,2025-11-05 15:05:00,4818
LED,AER,SU,2025-10-31 06:35:00,18222
LED,AER,SU,2025-10-30 15:05:00,9457
LED,AER,SU,2025-11-07 06:35:00,4818
LED,AER,SU,2025-11-01 10:15:00,9378
LED,AER,SU,2025-11-08 06:35:00,6978
LED,AER,SU,2025-11-03 10:15:00,4818
LED,AER,SU,2025-10-31 03:35:00,9452
LED,AER,SU,2025-10-31 08:05:00,17264
LED,AER,SU,2025-11-02 08:05:00,9378
LED,AER,SU,2025-10-30 06:35:00,17294
LED,AER,SU,2025-11-04 03:35:00,6978
LED,AER,SU,2025-11-03 06:35:00,6978
LED,AER,SU,2025-11-01 12:15:00,16283
LED,AER,SU,2025-11-08 03:35:00,9378
LED,AER,SU,2025-10-30 08:05:00,16302
LED,AER,SU,2025-10-31 10:15:00,9531
LED,AER,SU,2025-11-07 12:15:00,4818
LED,AER,SU,2025-11-08 15:05:00,4818
LED,AER,SU,2025-11-04 06:35:00,6978
LED,AER,SU,2025-11-05 12:15:00,4818
LED,AER,SU,2025-11-01 08:05:00,6978
LED,AER,SU,2025-11-06 08:05:00,4818
LED,AER,SU,2025-11-07 15:05:00,4818
LED,AER,SU,2025-11-05 03:35:00,6978
LED,AER,SU,2025-11-03 03:35:00,6978
