origin,destination,airline,direct_departure_ts,price
LED,DXB,EK,2025-12-06 20:05:00,95702
LED,DXB,EK,2025-12-06 20:10:00,47863
LED,DXB,EK,2025-12-05 20:05:00,90996
LED,DXB,EK,2025-11-29 20:10:00,47917
LED,DXB,EK,2025-12-01 20:10:00,46529
LED,DXB,EK,2025-12-07 20:10:00,46760
LED,DXB,EK,2025-12-05 20:10:00,48063
LED,DXB,EK,2025-11-29 20:05:00,91164
LED,DXB,EK,2025-12-03 20:05:00,90744
LED,DXB,EK,2025-12-03 20:10:00,46482
LED,DXB,EK,2025-12-07 20:05:00,105032
LED,DXB,EK,2025-12-02 20:05:00,89147
LED,DXB,EK,2025-12-04 20:05:00,89063
LED,DXB,EK,2025-11-30 20:10:00,45580
LED,DXB,EK,2025-12-04 20:10:00,46276
LED,DXB,EK,2025-11-30 20:05:00,93685
LED,DXB,EK,2025-12-02 20:10:00,46482
LED,DXB,EK,2025-12-08 20:10:00,45494
