origin,destination,airline,direct_departure_ts,price
LED,DXB,FZ,2026-01-06 21:30:00,82090
LED,DXB,FZ,2025-12-29 21:25:00,90349
LED,DXB,FZ,2025-12-30 21:30:00,101607
LED,DXB,FZ,2026-01-05 21:30:00,82090
LED,DXB,FZ,2025-12-30 21:25:00,78266
LED,DXB,FZ,2026-01-05 21:25:00,82090
LED,DXB,FZ,2025-12-31 21:30:00,96289
LED,DXB,FZ,2025-12-31 21:25:00,78387
LED,DXB,FZ,2025-12-31 12:05:00,59707
LED,DXB,FZ,2026-01-04 21:25:00,90542
LED,DXB,FZ,2026-01-01 21:30:00,96289
LED,DXB,FZ,2026-01-03 21:25:00,78398
LED,DXB,FZ,2026-01-02 21:25:00,242738
LED,DXB,FZ,2025-12-28 21:25:00,120931
LED,DXB,FZ,2026-01-01 21:25:00,95872
LED,DXB,FZ,2025-12-29 21:30:00,101607
LED,DXB,FZ,2026-01-06 21:25:00,66077
LED,DXB,FZ,2025-12-28 21:30:00,106847
LED,DXB,FZ,2026-01-04 12:05:00,69407
LED,DXB,FZ,2026-01-07 12:05:00,59626
LED,DXB,FZ,2026-01-02 10:45:00,102603
