origin,destination,airline,direct_departure_ts,price
LED,DXB,SU,2025-11-03 07:55:00,30034
LED,DXB,SU,2025-11-02 06:00:00,36706
LED,DXB,SU,2025-11-06 06:00:00,20807
LED,DXB,SU,2025-11-01 06:00:00,20807
LED,DXB,SU,2025-11-04 06:00:00,19921
LED,DXB,SU,2025-11-07 06:00:00,22546
LED,DXB,SU,2025-11-05 06:00:00,22675
LED,DXB,SU,2025-10-30 06:00:00,159329
LED,DXB,SU,2025-11-03 21:05:00,23061
LED,DXB,SU,2025-11-01 21:05:00,25742
LED,DXB,SU,2025-10-31 06:00:00,25152
LED,DXB,SU,2025-11-02 21:05:00,157857
LED,DXB,SU,2025-10-31 21:05:00,104241
LED,DXB,SU,2025-11-08 06:00:00,22622
