origin,destination,airline,direct_departure_ts,price
LED,OVB,S7,2025-12-02 10:45:00,11214
LED,OVB,S7,2025-11-30 13:40:00,11214
LED,OVB,S7,2025-12-06 13:40:00,11214
LED,OVB,S7,2025-12-01 13:40:00,11214
LED,OVB,S7,2025-12-01 10:45:00,11214
LED,OVB,S7,2025-12-04 10:45:00,11214
LED,OVB,S7,2025-12-04 13:40:00,11214
LED,OVB,S7,2025-12-08 10:45:00,11214
LED,OVB,S7,2025-12-07 10:45:00,13549
LED,OVB,S7,2025-11-30 10:45:00,13549
LED,OVB,S7,2025-11-29 13:40:00,21399
LED,OVB,S7,2025-12-07 13:40:00,13549
LED,OVB,S7,2025-12-02 13:40:00,11214
LED,OVB,S7,2025-12-05 10:45:00,11214
LED,OVB,S7,2025-11-29 10:45:00,15814
LED,OVB,S7,2025-12-05 13:40:00,15814
LED,OVB,S7,2025-12-08 13:40:00,18389
LED,OVB,S7,2025-12-06 10:45:00,11214
LED,OVB,S7,2025-12-03 13:40:00,11214
LED,OVB,S7,2025-12-03 10:45:00,11214
