origin,destination,airline,direct_departure_ts,price
MOW,AER,DP,2025-11-08 15:55:00,2886
MOW,AER,DP,2025-11-01 06:45:00,12377
MOW,AER,DP,2025-11-04 05:05:00,5452
MOW,AER,DP,2025-11-07 06:45:00,3934
MOW,AER,DP,2025-11-02 06:45:00,10001
MOW,AER,DP,2025-10-30 06:45:00,22468
MOW,AER,DP,2025-11-07 05:05:00,3934
MOW,AER,DP,2025-11-04 06:45:00,5449
MOW,AER,DP,2025-11-03 05:05:00,7377
MOW,AER,DP,2025-10-31 15:55:00,16396
MOW,AER,DP,2025-11-02 15:55:00,8552
MOW,AER,DP,2025-10-31 06:45:00,12052
MOW,AER,DP,2025-11-01 15:55:00,11946
MOW,AER,DP,2025-11-05 15:55:00,2976
MOW,AER,DP,2025-11-06 06:45:00,3410
MOW,AER,DP,2025-11-04 15:55:00,3478
MOW,AER,DP,2025-11-05 06:45:00,3498
MOW,AER,DP,2025-11-01 05:05:00,14095
MOW,AER,DP,2025-10-31 05:05:00,9868
MOW,AER,DP,2025-10-30 15:55:00,26239
MOW,AER,DP,2025-10-30 05:05:00,22497
MOW,AER,DP,2025-11-06 05:05:00,3410
MOW,AER,DP,2025-11-02 05:05:00,14154
MOW,AER,DP,2025-11-03 15:55:00,5451
MOW,AER,DP,2025-11-08 06:45:00,3410
MOW,AER,DP,2025-11-08 05:05:00,3934
MOW,AER,DP,2025-11-05 05:05:00,3498
MOW,AER,DP,2025-11-03 06:45:00,6389
MOW,AER,DP,2025-11-07 15:55:00,4458
MOW,AER,DP,2025-11-06 15:55:00,2362
