origin,destination,airline,direct_departure_ts,price
MOW,AER,S7,2026-01-02 05:10:00,24582
MOW,AER,S7,2026-01-03 08:10:00,24582
MOW,AER,S7,2025-12-30 08:10:00,28632
MOW,AER,S7,2026-01-06 05:10:00,15662
MOW,AER,S7,2026-01-02 10:40:00,21132
MOW,AER,S7,2025-12-30 05:10:00,28632
MOW,AER,S7,2025-12-30 10:40:00,24582
MOW,AER,S7,2026-01-01 08:10:00,18162
MOW,AER,S7,2026-01-04 10:40:00,21132
MOW,AER,S7,2026-01-01 10:40:00,15662
MOW,AER,S7,2026-01-01 05:10:00,15662
MOW,AER,S7,2025-12-31 10:40:00,28632
MOW,AER,S7,2026-01-05 10:40:00,15662
MOW,AER,S7,2025-12-29 05:10:00,21132
MOW,AER,S7,2026-01-06 10:40:00,13497
MOW,AER,S7,2026-01-03 05:10:00,24582
MOW,AER,S7,2026-01-07 05:10:00,10072
MOW,AER,S7,2026-01-03 10:40:00,24582
MOW,AER,S7,2025-12-31 05:10:00,38872
MOW,AER,S7,2026-01-06 08:10:00,15662
MOW,AER,S7,2026-01-07 10:40:00,11672
MOW,AER,S7,2026-01-04 05:10:00,24582
MOW,AER,S7,2026-01-05 05:10:00,21132
MOW,AER,S7,2026-01-02 08:10:00,24582
MOW,AER,S7,2026-01-04 08:10:00,21132
MOW,AER,S7,2025-12-29 10:40:00,24582
