origin,destination,airline,direct_departure_ts,price
MOW,AER,SU,2026-01-06 04:30:00,14321
MOW,AER,SU,2025-12-30 10:10:00,33806
MOW,AER,SU,2025-12-29 08:05:00,24666
MOW,AER,SU,2026-01-05 03:20:00,16184
MOW,AER,SU,2026-01-06 05:20:00,14321
MOW,AER,SU,2026-01-06 09:10:00,14321
MOW,AER,SU,2025-12-30 14:20:00,28852
MOW,AER,SU,2025-12-29 04:30:00,21005
MOW,AER,SU,2026-01-03 08:05:00,33721
MOW,AER,SU,2026-01-03 16:05:00,20932
MOW,AER,SU,2026-01-03 09:10:00,28627
MOW,AER,SU,2025-12-30 16:05:00,33806
MOW,AER,SU,2026-01-01 10:10:00,24475
MOW,AER,SU,2026-01-06 11:30:00,14321
MOW,AER,SU,2026-01-01 14:20:00,20932
MOW,AER,SU,2026-01-04 05:20:00,24559
MOW,AER,SU,2025-12-31 08:05:00,33721
MOW,AER,SU,2026-01-01 09:10:00,20932
MOW,AER,SU,2026-01-04 04:30:00,24559
MOW,AER,SU,2025-12-30 11:30:00,28890
MOW,AER,SU,2025-12-31 16:05:00,20982
MOW,AER,SU,2026-01-03 10:10:00,28627
MOW,AER,SU,2026-01-03 13:35:00,24525
MOW,AER,SU,2025-12-29 17:15:00,17854
MOW,AER,SU,2026-01-01 08:05:00,24475
MOW,AER,SU,2026-01-02 09:10:00,33721
MOW,AER,SU,2026-01-05 08:05:00,20963
MOW,AER,SU,2026-01-04 16:05:00,20962
MOW,AER,SU,2025-12-31 09:10:00,33721
MOW,AER,SU,2026-01-07 04:30:00,10581
MOW,AER,SU,2026-01-03 06:15:00,28627
MOW,AER,SU,2025-12-30 04:30:00,33849
MOW,AER,SU,2026-01-01 06:15:00,21077
MOW,AER,SU,2026-01-07 05:20:00,10581
MOW,AER,SU,2026-01-02 04:30:00,28627
MOW,AER,SU,2026-01-06 13:35:00,14321
MOW,AER,SU,2025-12-29 13:35:00,20942
MOW,AER,SU,2026-01-04 11:30:00,24559
MOW,AER,SU,2025-12-31 10:10:00,28852
MOW,AER,SU,2026-01-05 04:30:00,17854
MOW,AER,SU,2026-01-07 09:10:00,12444
MOW,AER,SU,2026-01-03 05:20:00,28627
MOW,AER,SU,2026-01-06 14:20:00,12444
MOW,AER,SU,2026-01-07 08:05:00,12444
MOW,AER,SU,2026-01-07 06:15:00,12444
MOW,AER,SU,2026-01-02 17:15:00,24475
MOW,AER,SU,2026-01-05 06:15:00,17927
MOW,AER,SU,2025-12-29 10:10:00,24559
MOW,AER,SU,2025-12-31 06:15:00,33721
MOW,AER,SU,2026-01-02 14:20:00,24475
MOW,AER,SU,2026-01-05 13:35:00,16184
MOW,AER,SU,2026-01-01 03:20:00,20932
MOW,AER,SU,2026-01-07 13:35:00,10581
MOW,AER,SU,2025-12-29 03:20:00,21005
MOW,AER,SU,2026-01-02 16:05:00,20932
MOW,AER,SU,2026-01-03 14:20:00,24525
MOW,AER,SU,2026-01-07 16:05:00,10581
MOW,AER,SU,2026-01-04 10:10:00,24559
MOW,AER,SU,2026-01-02 03:20:00,28627
MOW,AER,SU,2025-12-31 03:20:00,28627
MOW,AER,SU,2026-01-02 08:05:00,33721
MOW,AER,SU,2026-01-05 09:10:00,17927
MOW,AER,SU,2026-01-03 03:20:00,28627
MOW,AER,SU,2025-12-29 09:10:00,24666
MOW,AER,SU,2026-01-05 14:20:00,16184
MOW,AER,SU,2025-12-29 16:05:00,17854
