origin,destination,airline,direct_departure_ts,price
MOW,AER,UT,2025-11-08 07:20:00,3600
MOW,AER,UT,2025-10-30 07:20:00,11355
MOW,AER,UT,2025-10-31 07:20:00,10337
MOW,AER,UT,2025-11-05 07:20:00,3600
MOW,AER,UT,2025-11-02 07:20:00,8741
MOW,AER,UT,2025-11-07 07:20:00,3600
MOW,AER,UT,2025-11-06 07:20:00,3600
MOW,AER,UT,2025-11-01 08:30:00,10692
MOW,AER,UT,2025-11-04 07:20:00,4635
MOW,AER,UT,2025-11-04 08:30:00,4635
MOW,AER,UT,2025-11-03 08:30:00,4635
MOW,AER,UT,2025-11-01 07:20:00,11918
MOW,AER,UT,2025-11-02 08:30:00,8777
MOW,AER,UT,2025-11-03 07:20:00,10005
