origin,destination,airline,direct_departure_ts,price
MOW,DXB,DP,2025-11-06 07:05:00,12451
MOW,DXB,DP,2025-11-03 08:35:00,19703
MOW,DXB,DP,2025-10-31 04:00:00,25783
MOW,DXB,DP,2025-11-08 05:05:00,12480
MOW,DXB,DP,2025-11-03 03:00:00,19674
MOW,DXB,DP,2025-11-07 05:05:00,15379
MOW,DXB,DP,2025-10-30 05:05:00,30443
MOW,DXB,DP,2025-11-08 06:05:00,12459
MOW,DXB,DP,2025-11-01 07:05:00,27909
MOW,DXB,DP,2025-11-06 05:05:00,12451
MOW,DXB,DP,2025-11-04 04:00:00,14521
MOW,DXB,DP,2025-11-07 07:05:00,15389
MOW,DXB,DP,2025-11-02 07:05:00,29868
MOW,DXB,DP,2025-11-02 05:05:00,30068
MOW,DXB,DP,2025-11-05 05:05:00,12352
MOW,DXB,DP,2025-10-31 07:05:00,25783
MOW,DXB,DP,2025-10-30 07:05:00,25977
MOW,DXB,DP,2025-11-08 07:05:00,12480
MOW,DXB,DP,2025-11-01 05:05:00,23886
MOW,DXB,DP,2025-11-04 07:05:00,14521
MOW,DXB,DP,2025-11-05 07:05:00,14556
MOW,DXB,DP,2025-11-01 06:05:00,25781
