origin,destination,airline,direct_departure_ts,price
MOW,DXB,EK,2025-11-15 06:45:00,56848
MOW,DXB,EK,2025-11-14 01:55:00,46491
MOW,DXB,EK,2025-11-21 23:10:00,40203
MOW,DXB,EK,2025-11-17 00:50:00,46491
MOW,DXB,EK,2025-11-20 13:35:00,39644
MOW,DXB,EK,2025-11-21 01:55:00,20583
MOW,DXB,EK,2025-11-16 23:00:00,31529
MOW,DXB,EK,2025-11-20 12:20:00,20656
MOW,DXB,EK,2025-11-14 12:20:00,44434
MOW,DXB,EK,2025-11-18 06:45:00,39719
MOW,DXB,EK,2025-11-20 00:50:00,39892
MOW,DXB,EK,2025-11-18 23:00:00,31529
MOW,DXB,EK,2025-11-19 00:50:00,31529
MOW,DXB,EK,2025-11-17 21:55:00,39892
MOW,DXB,EK,2025-11-17 03:55:00,39892
MOW,DXB,EK,2025-11-22 06:45:00,42006
MOW,DXB,EK,2025-11-22 12:20:00,3271
MOW,DXB,EK,2025-11-19 03:55:00,31529
MOW,DXB,EK,2025-11-18 13:35:00,39719
MOW,DXB,EK,2025-11-19 23:00:00,20673
MOW,DXB,EK,2025-11-20 21:20:00,46491
MOW,DXB,EK,2025-11-16 13:35:00,41713
MOW,DXB,EK,2025-11-21 06:45:00,42085
MOW,DXB,EK,2025-11-17 13:35:00,39634
MOW,DXB,EK,2025-11-19 13:35:00,38940
MOW,DXB,EK,2025-11-16 21:55:00,31529
MOW,DXB,EK,2025-11-20 23:00:00,20673
MOW,DXB,EK,2025-11-20 20:30:00,39644
MOW,DXB,EK,2025-11-17 23:00:00,3271
MOW,DXB,EK,2025-11-13 13:35:00,39646
MOW,DXB,EK,2025-11-14 13:35:00,54651
MOW,DXB,EK,2025-11-13 06:45:00,43718
MOW,DXB,EK,2025-11-18 00:50:00,6032
MOW,DXB,EK,2025-11-14 00:50:00,65000
MOW,DXB,EK,2025-11-22 00:50:00,31839
MOW,DXB,EK,2025-11-16 00:50:00,54957
MOW,DXB,EK,2025-11-16 21:20:00,46491
MOW,DXB,EK,2025-11-21 23:00:00,39998
MOW,DXB,EK,2025-11-14 06:45:00,54440
MOW,DXB,EK,2025-11-22 01:55:00,31839
MOW,DXB,EK,2025-11-13 12:20:00,3417
MOW,DXB,EK,2025-11-16 06:45:00,52073
MOW,DXB,EK,2025-11-20 21:55:00,39892
MOW,DXB,EK,2025-11-14 20:30:00,46040
MOW,DXB,EK,2025-11-18 20:30:00,39719
MOW,DXB,EK,2025-11-20 06:45:00,39644
MOW,DXB,EK,2025-11-18 21:55:00,20583
MOW,DXB,EK,2025-11-17 20:30:00,39634
MOW,DXB,EK,2025-11-20 01:55:00,20673
MOW,DXB,EK,2025-11-17 06:45:00,39719
MOW,DXB,EK,2025-11-21 03:55:00,20583
MOW,DXB,EK,2025-11-19 20:30:00,38940
MOW,DXB,EK,2025-11-14 23:00:00,64884
MOW,DXB,EK,2025-11-16 03:55:00,31742
MOW,DXB,EK,2025-11-19 01:55:00,31529
MOW,DXB,EK,2025-11-21 20:30:00,42085
MOW,DXB,EK,2025-11-15 00:50:00,54805
MOW,DXB,EK,2025-11-19 06:45:00,38940
MOW,DXB,EK,2025-11-17 21:20:00,3271
MOW,DXB,EK,2025-11-15 13:35:00,54535
MOW,DXB,EK,2025-11-16 12:20:00,38148
MOW,DXB,EK,2025-11-17 12:20:00,20705
MOW,DXB,EK,2025-11-18 21:20:00,4860
MOW,DXB,EK,2025-11-22 20:30:00,42006
MOW,DXB,EK,2025-11-19 21:55:00,39892
MOW,DXB,EK,2025-11-13 03:55:00,39998
MOW,DXB,EK,2025-11-18 01:55:00,3271
MOW,DXB,EK,2025-11-15 12:20:00,64884
MOW,DXB,EK,2025-11-18 12:20:00,3271
MOW,DXB,EK,2025-11-21 13:35:00,42085
MOW,DXB,EK,2025-11-13 00:50:00,46339
MOW,DXB,EK,2025-11-21 12:20:00,6521
MOW,DXB,EK,2025-11-22 13:35:00,42006
MOW,DXB,EK,2025-11-21 00:50:00,45223
MOW,DXB,EK,2025-11-13 20:30:00,39646
MOW,DXB,EK,2025-11-19 21:20:00,39892
MOW,DXB,EK,2025-11-19 12:20:00,3271
MOW,DXB,EK,2025-11-16 20:30:00,39596
MOW,DXB,EK,2025-11-15 20:30:00,41995
MOW,DXB,EK,2025-11-17 01:55:00,31529
MOW,DXB,EK,2025-11-15 23:00:00,54567
