origin,destination,airline,direct_departure_ts,price
MOW,DXB,FZ,2025-12-06 03:55:00,31488
MOW,DXB,FZ,2025-12-05 01:55:00,9731
MOW,DXB,FZ,2025-12-04 21:55:00,8313
MOW,DXB,FZ,2025-12-07 21:20:00,44215
MOW,DXB,FZ,2025-11-30 03:55:00,31529
MOW,DXB,FZ,2025-12-06 00:55:00,50427
MOW,DXB,FZ,2025-11-30 01:55:00,4860
MOW,DXB,FZ,2025-12-03 03:55:00,44981
MOW,DXB,FZ,2025-12-06 22:50:00,50427
MOW,DXB,FZ,2025-12-01 23:00:00,44722
MOW,DXB,FZ,2025-11-28 21:20:00,46002
MOW,DXB,FZ,2025-12-03 00:50:00,43520
MOW,DXB,FZ,2025-12-08 00:50:00,40064
MOW,DXB,FZ,2025-11-30 00:55:00,55108
MOW,DXB,FZ,2025-12-02 21:50:00,45066
MOW,DXB,FZ,2025-12-06 23:00:00,3271
MOW,DXB,FZ,2025-11-28 21:50:00,46002
MOW,DXB,FZ,2025-12-01 01:55:00,1010
MOW,DXB,FZ,2025-11-28 23:10:00,47198
MOW,DXB,FZ,2025-12-03 00:55:00,50427
MOW,DXB,FZ,2025-12-02 01:55:00,44215
MOW,DXB,FZ,2025-11-29 21:20:00,45918
MOW,DXB,FZ,2025-11-30 23:00:00,782
MOW,DXB,FZ,2025-11-29 21:50:00,45918
MOW,DXB,FZ,2025-12-01 00:55:00,55108
MOW,DXB,FZ,2025-12-01 21:20:00,39892
MOW,DXB,FZ,2025-12-05 23:00:00,20245
MOW,DXB,FZ,2025-12-08 03:55:00,39949
MOW,DXB,FZ,2025-12-04 23:00:00,8173
MOW,DXB,FZ,2025-11-29 00:50:00,43520
MOW,DXB,FZ,2025-12-07 21:55:00,191714
MOW,DXB,FZ,2025-12-03 23:00:00,1379
MOW,DXB,FZ,2025-12-05 22:50:00,50427
MOW,DXB,FZ,2025-12-01 00:50:00,39892
MOW,DXB,FZ,2025-12-08 01:55:00,5025
MOW,DXB,FZ,2025-11-29 21:55:00,4860
MOW,DXB,FZ,2025-12-02 03:55:00,8158
MOW,DXB,FZ,2025-11-30 12:20:00,31529
MOW,DXB,FZ,2025-12-05 00:50:00,43520
MOW,DXB,FZ,2025-12-02 21:55:00,54072
MOW,DXB,FZ,2025-11-29 01:55:00,39998
MOW,DXB,FZ,2025-12-02 00:55:00,52725
MOW,DXB,FZ,2025-12-01 12:20:00,782
MOW,DXB,FZ,2025-12-05 21:50:00,43279
MOW,DXB,FZ,2025-12-06 12:20:00,20272
MOW,DXB,FZ,2025-12-04 22:50:00,54142
MOW,DXB,FZ,2025-12-08 12:20:00,3417
MOW,DXB,FZ,2025-12-07 21:50:00,44215
MOW,DXB,FZ,2025-11-30 21:50:00,44215
MOW,DXB,FZ,2025-11-29 00:55:00,56442
MOW,DXB,FZ,2025-12-03 12:20:00,48756
MOW,DXB,FZ,2025-12-08 00:55:00,49491
MOW,DXB,FZ,2025-12-02 12:20:00,4860
MOW,DXB,FZ,2025-12-05 12:20:00,5618
MOW,DXB,FZ,2025-12-03 21:55:00,53627
MOW,DXB,FZ,2025-12-05 00:55:00,54142
MOW,DXB,FZ,2025-12-05 03:55:00,8313
MOW,DXB,FZ,2025-12-06 21:50:00,43279
MOW,DXB,FZ,2025-12-03 21:50:00,45066
MOW,DXB,FZ,2025-12-04 01:55:00,45066
MOW,DXB,FZ,2025-12-02 00:50:00,8158
MOW,DXB,FZ,2025-12-05 21:55:00,31488
MOW,DXB,FZ,2025-11-29 23:00:00,4860
MOW,DXB,FZ,2025-11-30 00:50:00,39892
MOW,DXB,FZ,2025-12-01 03:55:00,39892
MOW,DXB,FZ,2025-12-04 21:50:00,43279
MOW,DXB,FZ,2025-11-30 22:50:00,55108
MOW,DXB,FZ,2025-11-29 03:55:00,31529
MOW,DXB,FZ,2025-12-01 21:55:00,8158
MOW,DXB,FZ,2025-11-28 21:55:00,39892
MOW,DXB,FZ,2025-12-05 21:20:00,43279
MOW,DXB,FZ,2025-12-06 21:20:00,8158
MOW,DXB,FZ,2025-12-06 21:55:00,31529
MOW,DXB,FZ,2025-11-28 22:50:00,56442
MOW,DXB,FZ,2025-12-07 12:20:00,3271
MOW,DXB,FZ,2025-12-03 22:50:00,50427
MOW,DXB,FZ,2025-12-04 21:20:00,8313
MOW,DXB,FZ,2025-12-02 23:00:00,44722
MOW,DXB,FZ,2025-12-04 03:55:00,44981
MOW,DXB,FZ,2025-11-28 23:00:00,45582
MOW,DXB,FZ,2025-11-30 21:55:00,39892
MOW,DXB,FZ,2025-12-03 21:20:00,45066
MOW,DXB,FZ,2025-12-07 03:55:00,4860
MOW,DXB,FZ,2025-12-04 00:50:00,42669
MOW,DXB,FZ,2025-12-03 01:55:00,45066
MOW,DXB,FZ,2025-12-04 00:55:00,50427
MOW,DXB,FZ,2025-12-01 22:50:00,52725
MOW,DXB,FZ,2025-11-29 22:50:00,55108
MOW,DXB,FZ,2025-12-02 21:20:00,45066
MOW,DXB,FZ,2025-12-04 12:20:00,935
MOW,DXB,FZ,2025-12-01 21:50:00,44215
MOW,DXB,FZ,2025-12-07 23:00:00,3417
MOW,DXB,FZ,2025-12-07 22:50:00,49491
MOW,DXB,FZ,2025-12-06 01:55:00,31488
MOW,DXB,FZ,2025-12-07 00:50:00,31529
MOW,DXB,FZ,2025-12-02 22:50:00,50427
MOW,DXB,FZ,2025-11-30 21:20:00,39892
MOW,DXB,FZ,2025-12-07 01:55:00,4860
MOW,DXB,FZ,2025-12-06 00:50:00,31488
MOW,DXB,FZ,2025-11-29 12:20:00,3271
MOW,DXB,FZ,2025-12-07 00:55:00,50427
