origin,destination,airline,direct_departure_ts,price
MOW,DXB,SU,2025-11-16 05:15:00,40363
MOW,DXB,SU,2025-11-13 23:15:00,36298
MOW,DXB,SU,2025-11-15 23:15:00,45345
MOW,DXB,SU,2025-11-14 23:15:00,36298
MOW,DXB,SU,2025-11-19 08:15:00,22135
MOW,DXB,SU,2025-11-17 23:15:00,21291
MOW,DXB,SU,2025-11-14 08:15:00,32517
MOW,DXB,SU,2025-11-20 05:15:00,21323
MOW,DXB,SU,2025-11-20 08:15:00,21332
MOW,DXB,SU,2025-11-16 08:15:00,36655
MOW,DXB,SU,2025-11-22 05:15:00,24691
MOW,DXB,SU,2025-11-19 05:15:00,21225
MOW,DXB,SU,2025-11-21 05:15:00,24341
MOW,DXB,SU,2025-11-21 23:15:00,24639
MOW,DXB,SU,2025-11-12 23:15:00,24502
MOW,DXB,SU,2025-11-14 05:15:00,32585
MOW,DXB,SU,2025-11-20 23:15:00,21332
MOW,DXB,SU,2025-11-18 08:15:00,21332
MOW,DXB,SU,2025-11-18 23:15:00,21362
MOW,DXB,SU,2025-11-15 08:15:00,40577
MOW,DXB,SU,2025-11-15 05:15:00,57410
MOW,DXB,SU,2025-11-16 23:15:00,21225
MOW,DXB,SU,2025-11-17 08:15:00,36256
MOW,DXB,SU,2025-11-21 08:15:00,24667
MOW,DXB,SU,2025-11-13 08:15:00,24691
MOW,DXB,SU,2025-11-19 23:15:00,29232
MOW,DXB,SU,2025-11-13 05:15:00,29446
MOW,DXB,SU,2025-11-22 08:15:00,21157
MOW,DXB,SU,2025-11-18 05:15:00,21362
MOW,DXB,SU,2025-11-17 05:15:00,24374
