origin,destination,airline,direct_departure_ts,price
MOW,LED,DP,2026-01-07 15:45:00,5949
MOW,LED,DP,2025-12-31 16:50:00,5949
MOW,LED,DP,2026-01-07 08:05:00,5099
MOW,LED,DP,2026-01-04 08:05:00,5963
MOW,LED,DP,2025-12-29 05:05:00,5099
MOW,LED,DP,2026-01-05 05:05:00,6771
MOW,LED,DP,2025-12-31 10:05:00,7549
MOW,LED,DP,2026-01-01 08:25:00,4453
MOW,LED,DP,2026-01-04 10:05:00,5963
MOW,LED,DP,2026-01-01 15:45:00,6785
MOW,LED,DP,2026-01-03 05:35:00,6161
MOW,LED,DP,2025-12-31 15:45:00,6771
MOW,LED,DP,2026-01-06 15:45:00,7549
MOW,LED,DP,2025-12-30 12:30:00,8349
MOW,LED,DP,2026-01-06 12:30:00,6771
MOW,LED,DP,2025-12-30 08:25:00,6771
MOW,LED,DP,2025-12-30 15:45:00,9283
MOW,LED,DP,2025-12-29 16:50:00,9299
MOW,LED,DP,2026-01-06 05:05:00,5099
MOW,LED,DP,2026-01-02 16:45:00,5949
MOW,LED,DP,2026-01-02 08:05:00,6771
MOW,LED,DP,2026-01-06 08:25:00,6771
MOW,LED,DP,2026-01-03 08:25:00,5949
MOW,LED,DP,2026-01-01 12:30:00,6785
MOW,LED,DP,2026-01-05 15:45:00,7549
MOW,LED,DP,2025-12-30 05:05:00,6771
MOW,LED,DP,2025-12-29 08:25:00,6779
MOW,LED,DP,2026-01-04 15:45:00,5963
MOW,LED,DP,2026-01-07 16:50:00,5099
MOW,LED,DP,2025-12-29 15:45:00,8373
MOW,LED,DP,2026-01-03 15:45:00,5949
MOW,LED,DP,2026-01-02 10:05:00,6771
MOW,LED,DP,2026-01-07 10:05:00,5099
MOW,LED,DP,2026-01-04 16:45:00,5099
MOW,LED,DP,2026-01-03 16:45:00,5949
MOW,LED,DP,2026-01-02 15:45:00,5949
MOW,LED,DP,2026-01-03 05:05:00,5949
MOW,LED,DP,2026-01-05 08:25:00,5949
MOW,LED,DP,2025-12-31 08:05:00,7549
MOW,LED,DP,2026-01-01 05:05:00,4453
MOW,LED,DP,2026-01-05 16:50:00,8349
