origin,destination,airline,direct_departure_ts,price
MOW,LED,FV,2025-12-30 05:30:00,8124
MOW,LED,FV,2026-01-03 18:30:00,7334
MOW,LED,FV,2026-01-02 07:00:00,8124
MOW,LED,FV,2026-01-04 10:30:00,7334
MOW,LED,FV,2026-01-07 12:00:00,7974
MOW,LED,FV,2025-12-30 07:30:00,8857
MOW,LED,FV,2025-12-30 20:00:00,8042
MOW,LED,FV,2026-01-07 20:30:00,7334
MOW,LED,FV,2025-12-31 16:30:00,7974
MOW,LED,FV,2025-12-29 12:30:00,7974
MOW,LED,FV,2025-12-31 09:30:00,7996
MOW,LED,FV,2026-01-05 14:00:00,7184
MOW,LED,FV,2026-01-06 06:00:00,8030
MOW,LED,FV,2026-01-04 05:30:00,6574
MOW,LED,FV,2026-01-06 17:30:00,7974
MOW,LED,FV,2026-01-02 12:30:00,8764
MOW,LED,FV,2026-01-02 18:30:00,7334
MOW,LED,FV,2025-12-29 20:00:00,7996
MOW,LED,FV,2026-01-01 12:00:00,6574
MOW,LED,FV,2025-12-31 14:00:00,7204
MOW,LED,FV,2026-01-03 13:30:00,8124
MOW,LED,FV,2026-01-02 12:00:00,8124
MOW,LED,FV,2026-01-06 10:30:00,7334
MOW,LED,FV,2026-01-01 13:30:00,5844
MOW,LED,FV,2026-01-04 17:30:00,7334
MOW,LED,FV,2026-01-03 17:00:00,7334
MOW,LED,FV,2025-12-29 16:30:00,8764
MOW,LED,FV,2026-01-06 18:30:00,7974
MOW,LED,FV,2025-12-31 12:30:00,7974
MOW,LED,FV,2025-12-31 10:00:00,8124
MOW,LED,FV,2025-12-29 15:30:00,8764
MOW,LED,FV,2026-01-06 05:00:00,7334
MOW,LED,FV,2025-12-29 18:00:00,8914
MOW,LED,FV,2025-12-29 10:30:00,8862
MOW,LED,FV,2026-01-02 13:00:00,8124
MOW,LED,FV,2026-01-06 19:00:00,7334
MOW,LED,FV,2025-12-30 18:00:00,8914
MOW,LED,FV,2026-01-05 19:30:00,7334
MOW,LED,FV,2026-01-03 10:30:00,7974
MOW,LED,FV,2026-01-04 12:30:00,7334
MOW,LED,FV,2026-01-07 15:00:00,7974
MOW,LED,FV,2025-12-30 16:00:00,8914
MOW,LED,FV,2025-12-29 17:00:00,8914
MOW,LED,FV,2026-01-07 06:00:00,7974
MOW,LED,FV,2026-01-01 17:00:00,5844
MOW,LED,FV,2026-01-03 06:00:00,8764
MOW,LED,FV,2026-01-01 16:30:00,5844
MOW,LED,FV,2026-01-06 16:30:00,7974
MOW,LED,FV,2025-12-29 05:30:00,8124
MOW,LED,FV,2025-12-30 12:30:00,7979
MOW,LED,FV,2026-01-04 16:00:00,7334
MOW,LED,FV,2026-01-06 05:30:00,6574
MOW,LED,FV,2026-01-05 10:30:00,7974
MOW,LED,FV,2025-12-30 16:30:00,8764
MOW,LED,FV,2025-12-29 07:00:00,8914
MOW,LED,FV,2026-01-01 07:00:00,5844
MOW,LED,FV,2026-01-03 05:00:00,8764
MOW,LED,FV,2025-12-30 20:30:00,8170
MOW,LED,FV,2025-12-29 20:30:00,8201
MOW,LED,FV,2025-12-29 19:30:00,8124
MOW,LED,FV,2026-01-01 06:00:00,7974
MOW,LED,FV,2026-01-02 19:30:00,7334
MOW,LED,FV,2026-01-07 17:00:00,10581
MOW,LED,FV,2025-12-30 05:00:00,7974
MOW,LED,FV,2026-01-05 08:30:00,7334
MOW,LED,FV,2025-12-31 05:00:00,7334
MOW,LED,FV,2025-12-31 13:30:00,8124
MOW,LED,FV,2026-01-07 09:30:00,7974
MOW,LED,FV,2026-01-04 13:30:00,7334
MOW,LED,FV,2025-12-30 09:30:00,8877
MOW,LED,FV,2026-01-04 03:00:00,6574
MOW,LED,FV,2026-01-05 15:00:00,8124
MOW,LED,FV,2026-01-04 19:30:00,7334
MOW,LED,FV,2026-01-04 11:00:00,7334
MOW,LED,FV,2026-01-04 11:30:00,7334
MOW,LED,FV,2026-01-02 15:30:00,7974
MOW,LED,FV,2026-01-03 19:30:00,7334
MOW,LED,FV,2026-01-06 13:30:00,7334
MOW,LED,FV,2025-12-30 15:30:00,8764
MOW,LED,FV,2025-12-31 07:30:00,8036
MOW,LED,FV,2025-12-31 08:30:00,8124
MOW,LED,FV,2026-01-05 07:30:00,7334
MOW,LED,FV,2025-12-30 19:00:00,8124
MOW,LED,FV,2025-12-29 09:30:00,8046
MOW,LED,FV,2026-01-06 19:30:00,7334
MOW,LED,FV,2026-01-01 12:30:00,6574
MOW,LED,FV,2025-12-31 18:30:00,8764
MOW,LED,FV,2025-12-30 03:00:00,8914
MOW,LED,FV,2026-01-02 09:30:00,8764
MOW,LED,FV,2026-01-02 20:30:00,7334
MOW,LED,FV,2025-12-30 08:00:00,8807
MOW,LED,FV,2026-01-01 08:00:00,6621
MOW,LED,FV,2025-12-31 10:30:00,8764
MOW,LED,FV,2025-12-31 04:00:00,7334
MOW,LED,FV,2026-01-02 16:30:00,7334
MOW,LED,FV,2026-01-06 16:00:00,8124
MOW,LED,FV,2025-12-30 17:00:00,8914
MOW,LED,FV,2026-01-07 07:00:00,7334
MOW,LED,FV,2026-01-05 05:00:00,6574
MOW,LED,FV,2026-01-04 07:00:00,6574
MOW,LED,FV,2025-12-31 08:00:00,8124
