origin,destination,airline,direct_departure_ts,price
MOW,LED,R0,2025-11-29T02:45:00Z,4101
MOW,LED,R0,2025-11-29T03:50:00Z,4442
MOW,LED,R0,2025-11-29T04:00:00Z,4343
MOW,LED,R0,2025-11-29T06:30:00Z,4408
MOW,LED,R0,2025-11-29T06:40:00Z,4594
MOW,LED,R0,2025-11-29T10:35:00Z,3896
MOW,LED,R0,2025-11-29T10:45:00Z,3435
MOW,LED,R0,2025-11-29T12:30:00Z,3243
MOW,LED,R0,2025-11-29T12:40:00Z,3243
MOW,LED,R0,2025-11-29T14:30:00Z,3071
MOW,LED,R0,2025-11-29T14:40:00Z,3007
MOW,LED,R0,2025-11-29T16:30:00Z,3166
MOW,LED,R0,2025-11-29T16:40:00Z,3007
MOW,LED,R0,2025-11-29T17:50:00Z,3166
MOW,LED,R0,2025-11-30T02:45:00Z,3071
MOW,LED,R0,2025-11-30T03:50:00Z,3071
MOW,LED,R0,2025-11-30T04:00:00Z,3071
MOW,LED,R0,2025-11-30T06:30:00Z,3609
MOW,LED,R0,2025-11-30T06:40:00Z,3514
MOW,LED,R0,2025-11-30T10:35:00Z,3839
MOW,LED,R0,2025-11-30T10:45:00Z,4002
MOW,LED,R0,2025-11-30T12:30:00Z,4156
MOW,LED,R0,2025-11-30T12:40:00Z,4156
MOW,LED,R0,2025-11-30T14:30:00Z,4783
MOW,LED,R0,2025-11-30T14:40:00Z,4657
MOW,LED,R0,2025-11-30T16:30:00Z,4503
MOW,LED,R0,2025-11-30T16:40:00Z,4310
MOW,LED,R0,2025-11-30T17:50:00Z,3886
MOW,LED,R0,2025-12-01T02:45:00Z,3953
MOW,LED,R0,2025-12-01T03:50:00Z,3953
MOW,LED,R0,2025-12-01T04:00:00Z,3953
MOW,LED,R0,2025-12-01T06:30:00Z,3748
MOW,LED,R0,2025-12-01T06:40:00Z,3748
MOW,LED,R0,2025-12-01T10:30:00Z,3514
MOW,LED,R0,2025-12-01T10:40:00Z,3514
MOW,LED,R0,2025-12-01T12:30:00Z,3071
MOW,LED,R0,2025-12-01T12:40:00Z,3071
MOW,LED,R0,2025-12-01T14:30:00Z,3071
MOW,LED,R0,2025-12-01T14:40:00Z,2881
MOW,LED,R0,2025-12-01T16:30:00Z,3071
MOW,LED,R0,2025-12-01T16:40:00Z,2881
MOW,LED,R0,2025-12-01T17:50:00Z,3071
MOW,LED,R0,2025-12-02T02:45:00Z,2881
MOW,LED,R0,2025-12-02T03:50:00Z,3428
MOW,LED,R0,2025-12-02T04:00:00Z,3566
MOW,LED,R0,2025-12-02T06:30:00Z,3748
MOW,LED,R0,2025-12-02T06:40:00Z,3566
MOW,LED,R0,2025-12-02T10:30:00Z,3314
MOW,LED,R0,2025-12-02T10:40:00Z,3314
MOW,LED,R0,2025-12-02T12:30:00Z,3314
MOW,LED,R0,2025-12-02T12:40:00Z,3158
MOW,LED,R0,2025-12-02T14:30:00Z,3314
MOW,LED,R0,2025-12-02T14:40:00Z,3314
MOW,LED,R0,2025-12-02T16:30:00Z,3158
MOW,LED,R0,2025-12-02T16:40:00Z,3158
