origin,destination,airline,direct_departure_ts,price
MOW,LED,SU,2025-10-30 03:00:00,21703
MOW,LED,SU,2025-10-30 04:00:00,17827
MOW,LED,SU,2025-10-30 04:25:00,13100
MOW,LED,SU,2025-10-30 05:00:00,32040
MOW,LED,SU,2025-10-30 06:30:00,32032
MOW,LED,SU,2025-10-30 07:00:00,20448
MOW,LED,SU,2025-10-30 07:30:00,25531
MOW,LED,SU,2025-10-30 08:00:00,32296
MOW,LED,SU,2025-10-30 08:30:00,13215
MOW,LED,SU,2025-10-30 09:30:00,13957
MOW,LED,SU,2025-10-30 10:30:00,16385
MOW,LED,SU,2025-10-30 11:00:00,10384
MOW,LED,SU,2025-10-30 11:30:00,10525
MOW,LED,SU,2025-10-30 12:00:00,20367
MOW,LED,SU,2025-10-30 12:30:00,25650
MOW,LED,SU,2025-10-30 13:00:00,31744
MOW,LED,SU,2025-10-30 13:30:00,31744
MOW,LED,SU,2025-10-30 14:00:00,25490
MOW,LED,SU,2025-10-30 14:30:00,20367
MOW,LED,SU,2025-10-30 15:00:00,25608
MOW,LED,SU,2025-10-30 15:30:00,20367
MOW,LED,SU,2025-10-30 16:00:00,20367
MOW,LED,SU,2025-10-30 16:30:00,16411
MOW,LED,SU,2025-10-30 17:00:00,20367
MOW,LED,SU,2025-10-30 17:30:00,13362
MOW,LED,SU,2025-10-30 18:00:00,13123
MOW,LED,SU,2025-10-30 18:30:00,16147
MOW,LED,SU,2025-10-30 19:00:00,20367
MOW,LED,SU,2025-10-30 19:30:00,20367
MOW,LED,SU,2025-10-30 20:00:00,25372
MOW,LED,SU,2025-10-30 20:30:00,16284
MOW,LED,SU,2025-10-30 22:00:00,13125
MOW,LED,SU,2025-10-31 03:00:00,13129
MOW,LED,SU,2025-10-31 04:00:00,12928
MOW,LED,SU,2025-10-31 05:00:00,10387
MOW,LED,SU,2025-10-31 05:30:00,13292
MOW,LED,SU,2025-10-31 06:30:00,9930
MOW,LED,SU,2025-10-31 07:00:00,10524
MOW,LED,SU,2025-10-31 07:30:00,10374
MOW,LED,SU,2025-10-31 08:00:00,10524
MOW,LED,SU,2025-10-31 08:30:00,10374
MOW,LED,SU,2025-10-31 09:30:00,8828
MOW,LED,SU,2025-10-31 10:30:00,8792
MOW,LED,SU,2025-10-31 11:00:00,8960
MOW,LED,SU,2025-10-31 11:30:00,8788
MOW,LED,SU,2025-10-31 12:00:00,10524
MOW,LED,SU,2025-10-31 12:30:00,10374
MOW,LED,SU,2025-10-31 13:00:00,10524
MOW,LED,SU,2025-10-31 13:25:00,8914
MOW,LED,SU,2025-10-31 14:00:00,12928
MOW,LED,SU,2025-10-31 14:30:00,10524
MOW,LED,SU,2025-10-31 15:00:00,12342
MOW,LED,SU,2025-10-31 15:30:00,9930
MOW,LED,SU,2025-10-31 16:00:00,9930
MOW,LED,SU,2025-10-31 16:30:00,10374
MOW,LED,SU,2025-10-31 17:00:00,16264
MOW,LED,SU,2025-10-31 17:30:00,10384
MOW,LED,SU,2025-10-31 18:00:00,13064
MOW,LED,SU,2025-10-31 18:30:00,10374
