origin,destination,airline,direct_departure_ts,price
MOW,OVB,S7,2026-01-05 08:20:00,14493
MOW,OVB,S7,2026-01-03 08:20:00,14493
MOW,OVB,S7,2026-01-02 10:35:00,12543
MOW,OVB,S7,2026-01-01 20:00:00,14493
MOW,OVB,S7,2026-01-06 20:00:00,16828
MOW,OVB,S7,2026-01-02 08:20:00,14493
MOW,OVB,S7,2026-01-06 08:20:00,16828
MOW,OVB,S7,2025-12-31 13:45:00,14493
MOW,OVB,S7,2026-01-06 10:35:00,16828
MOW,OVB,S7,2025-12-30 10:35:00,26268
MOW,OVB,S7,2026-01-05 10:35:00,16828
MOW,OVB,S7,2025-12-30 08:20:00,26268
MOW,OVB,S7,2026-01-01 17:35:00,14493
MOW,OVB,S7,2026-01-01 13:45:00,12543
MOW,OVB,S7,2026-01-03 13:45:00,14493
MOW,OVB,S7,2026-01-02 17:35:00,12543
MOW,OVB,S7,2025-12-30 13:45:00,26268
MOW,OVB,S7,2026-01-04 08:20:00,14493
MOW,OVB,S7,2025-12-29 13:45:00,22623
MOW,OVB,S7,2026-01-07 17:35:00,16828
MOW,OVB,S7,2025-12-31 10:35:00,19483
MOW,OVB,S7,2025-12-29 17:35:00,26268
MOW,OVB,S7,2026-01-05 13:45:00,16828
MOW,OVB,S7,2026-01-04 20:00:00,16828
MOW,OVB,S7,2026-01-02 13:45:00,12543
MOW,OVB,S7,2026-01-07 10:35:00,16828
MOW,OVB,S7,2026-01-07 13:45:00,16828
MOW,OVB,S7,2025-12-31 08:20:00,22623
MOW,OVB,S7,2026-01-05 17:35:00,14493
MOW,OVB,S7,2026-01-03 20:00:00,14493
MOW,OVB,S7,2026-01-03 10:35:00,14493
MOW,OVB,S7,2025-12-29 10:35:00,22623
MOW,OVB,S7,2025-12-29 08:20:00,26268
MOW,OVB,S7,2025-12-29 20:00:00,16828
MOW,OVB,S7,2025-12-30 20:00:00,30578
MOW,OVB,S7,2026-01-01 10:35:00,12543
MOW,OVB,S7,2026-01-01 08:20:00,12543
MOW,OVB,S7,2026-01-05 20:00:00,16828
MOW,OVB,S7,2026-01-04 10:35:00,14493
MOW,OVB,S7,2026-01-07 08:20:00,14493
MOW,OVB,S7,2026-01-06 13:45:00,16828
MOW,OVB,S7,2025-12-31 20:00:00,12543
MOW,OVB,S7,2026-01-04 17:35:00,14493
MOW,OVB,S7,2026-01-04 13:45:00,14493
MOW,OVB,S7,2026-01-02 20:00:00,14493
MOW,OVB,S7,2026-01-07 20:00:00,16828
