origin,destination,airline,direct_departure_ts,price
MOW,OVB,SU,2025-12-03 21:55:00,14323
MOW,OVB,SU,2025-11-29 06:15:00,16254
MOW,OVB,SU,2025-12-02 21:55:00,14323
MOW,OVB,SU,2025-12-04 18:05:00,12523
MOW,OVB,SU,2025-12-03 18:05:00,14323
MOW,OVB,SU,2025-12-07 06:15:00,14342
MOW,OVB,SU,2025-12-02 20:05:00,14555
MOW,OVB,SU,2025-12-06 18:05:00,14323
MOW,OVB,SU,2025-12-05 21:55:00,14325
MOW,OVB,SU,2025-12-02 06:15:00,16308
MOW,OVB,SU,2025-12-06 20:05:00,16123
MOW,OVB,SU,2025-12-05 06:15:00,12523
MOW,OVB,SU,2025-12-03 09:20:00,14323
MOW,OVB,SU,2025-12-07 09:20:00,16123
MOW,OVB,SU,2025-12-01 21:55:00,14528
MOW,OVB,SU,2025-12-06 12:55:00,12523
MOW,OVB,SU,2025-11-29 20:05:00,14323
MOW,OVB,SU,2025-12-08 09:20:00,18390
MOW,OVB,SU,2025-11-29 21:55:00,12523
MOW,OVB,SU,2025-11-30 09:20:00,16134
MOW,OVB,SU,2025-12-01 18:05:00,16208
MOW,OVB,SU,2025-12-03 06:15:00,12523
MOW,OVB,SU,2025-12-05 18:05:00,16123
MOW,OVB,SU,2025-11-30 18:05:00,18291
MOW,OVB,SU,2025-11-28 21:55:00,18419
MOW,OVB,SU,2025-12-02 23:40:00,12523
MOW,OVB,SU,2025-12-02 18:05:00,12673
MOW,OVB,SU,2025-12-06 06:15:00,12523
MOW,OVB,SU,2025-12-07 18:05:00,16123
MOW,OVB,SU,2025-12-06 21:55:00,14342
MOW,OVB,SU,2025-12-05 09:20:00,14323
MOW,OVB,SU,2025-12-04 20:50:00,12523
MOW,OVB,SU,2025-12-04 06:15:00,16123
MOW,OVB,SU,2025-12-08 18:05:00,14372
MOW,OVB,SU,2025-12-01 09:20:00,16208
MOW,OVB,SU,2025-11-29 12:55:00,14323
MOW,OVB,SU,2025-12-04 21:55:00,14323
