origin,destination,airline,direct_departure_ts,price
MOW,TAS,HY,2025-11-03 17:50:00,28376
MOW,TAS,HY,2025-11-07 19:50:00,28670
MOW,TAS,HY,2025-11-01 08:20:00,33754
MOW,TAS,HY,2025-11-08 17:50:00,24080
MOW,TAS,HY,2025-11-07 13:25:00,24601
MOW,TAS,HY,2025-11-02 17:50:00,39154
MOW,TAS,HY,2025-11-04 17:50:00,23951
MOW,TAS,HY,2025-10-31 08:20:00,39672
MOW,TAS,HY,2025-11-02 18:20:00,28714
MOW,TAS,HY,2025-11-01 07:50:00,39154
MOW,TAS,HY,2025-11-06 08:20:00,28835
MOW,TAS,HY,2025-11-05 19:50:00,33563
MOW,TAS,HY,2025-11-08 18:50:00,24601
MOW,TAS,HY,2025-11-01 17:50:00,39154
MOW,TAS,HY,2025-10-30 19:50:00,39672
MOW,TAS,HY,2025-11-08 19:50:00,28670
MOW,TAS,HY,2025-11-03 19:50:00,28670
MOW,TAS,HY,2025-11-07 08:20:00,28670
MOW,TAS,HY,2025-11-04 19:50:00,24371
MOW,TAS,HY,2025-11-02 19:50:00,28670
MOW,TAS,HY,2025-11-08 08:20:00,24371
MOW,TAS,HY,2025-11-01 19:50:00,33754
MOW,TAS,HY,2025-11-06 17:50:00,33264
MOW,TAS,HY,2025-11-05 08:20:00,24371
MOW,TAS,HY,2025-11-07 17:50:00,28376
MOW,TAS,HY,2025-10-30 08:20:00,39674
MOW,TAS,HY,2025-11-06 19:50:00,28670
MOW,TAS,HY,2025-11-04 08:20:00,30471
MOW,TAS,HY,2025-11-08 07:50:00,33264
MOW,TAS,HY,2025-11-05 07:50:00,39154
MOW,TAS,HY,2025-11-05 17:50:00,28376
MOW,TAS,HY,2025-11-02 08:20:00,99577
MOW,TAS,HY,2025-11-01 18:50:00,33451
MOW,TAS,HY,2025-10-31 17:50:00,39368
MOW,TAS,HY,2025-10-30 17:50:00,39369
MOW,TAS,HY,2025-11-03 08:20:00,39453
