origin,destination,airline,direct_departure_ts,price
MOW,TAS,SU,2025-12-02 17:00:00,20663
MOW,TAS,SU,2025-12-02 04:50:00,20651
MOW,TAS,SU,2025-12-07 09:45:00,20699
MOW,TAS,SU,2025-11-28 23:55:00,16656
MOW,TAS,SU,2025-12-06 04:45:00,20693
MOW,TAS,SU,2025-12-08 04:45:00,25755
MOW,TAS,SU,2025-11-30 04:50:00,16680
MOW,TAS,SU,2025-12-08 17:00:00,20553
MOW,TAS,SU,2025-11-30 09:45:00,31948
MOW,TAS,SU,2025-12-07 17:00:00,20699
MOW,TAS,SU,2025-11-29 04:45:00,14274
MOW,TAS,SU,2025-11-29 09:45:00,14286
MOW,TAS,SU,2025-12-07 04:50:00,20699
MOW,TAS,SU,2025-12-05 09:45:00,20593
MOW,TAS,SU,2025-12-06 09:45:00,20693
MOW,TAS,SU,2025-12-01 04:45:00,25710
MOW,TAS,SU,2025-12-03 17:00:00,20659
MOW,TAS,SU,2025-12-03 04:50:00,20555
MOW,TAS,SU,2025-12-01 17:00:00,20699
MOW,TAS,SU,2025-12-04 04:50:00,20593
MOW,TAS,SU,2025-11-29 23:55:00,14286
MOW,TAS,SU,2025-12-06 23:55:00,20699
MOW,TAS,SU,2025-12-05 04:50:00,20661
MOW,TAS,SU,2025-11-30 17:00:00,16570
MOW,TAS,SU,2025-12-04 17:00:00,20593
MOW,TAS,SU,2025-12-05 23:55:00,20693
MOW,TAS,SU,2025-12-03 09:45:00,20664
