origin,destination,airline,direct_departure_ts,price
OVB,KJA,S7,2026-01-01 05:55:00,7304
OVB,KJA,S7,2025-12-29 02:00:00,6189
OVB,KJA,S7,2025-12-29 10:50:00,8399
OVB,KJA,S7,2026-01-01 10:50:00,7304
OVB,KJA,S7,2025-12-30 05:55:00,8399
OVB,KJA,S7,2026-01-07 10:50:00,7304
OVB,KJA,S7,2025-12-31 02:00:00,9699
OVB,KJA,S7,2025-12-30 10:50:00,8399
OVB,KJA,S7,2026-01-05 10:50:00,7304
OVB,KJA,S7,2026-01-06 19:20:00,6189
OVB,KJA,S7,2025-12-31 10:50:00,6189
OVB,KJA,S7,2026-01-05 02:00:00,7304
OVB,KJA,S7,2025-12-31 05:55:00,8399
OVB,KJA,S7,2025-12-29 05:55:00,9699
OVB,KJA,S7,2026-01-05 05:55:00,7304
OVB,KJA,S7,2026-01-03 05:55:00,8399
OVB,KJA,S7,2026-01-04 19:20:00,7304
OVB,KJA,S7,2025-12-28 19:20:00,9699
OVB,KJA,S7,2026-01-02 19:20:00,7304
OVB,KJA,S7,2026-01-07 02:00:00,7304
OVB,KJA,S7,2025-12-30 19:20:00,6189
OVB,KJA,S7,2025-12-29 19:20:00,8399
OVB,KJA,S7,2026-01-07 05:55:00,7304
OVB,KJA,S7,2026-01-03 02:00:00,8399
OVB,KJA,S7,2025-12-30 02:00:00,7304
OVB,KJA,S7,2026-01-03 10:50:00,7304
