origin,destination,airline,direct_departure_ts,price
SVX,OVB,S7,2025-12-08 10:20:00,14057
SVX,OVB,S7,2025-12-01 02:15:00,11002
SVX,OVB,S7,2025-12-02 16:15:00,14057
SVX,OVB,S7,2025-12-06 16:15:00,14057
SVX,OVB,S7,2025-12-07 10:20:00,19237
SVX,OVB,S7,2025-12-05 10:20:00,14057
SVX,OVB,S7,2025-12-01 16:15:00,14057
SVX,OVB,S7,2025-12-02 02:15:00,11002
SVX,OVB,S7,2025-11-29 16:15:00,14057
SVX,OVB,S7,2025-12-05 16:15:00,14057
SVX,OVB,S7,2025-12-02 10:20:00,14057
SVX,OVB,S7,2025-11-30 16:15:00,22392
SVX,OVB,S7,2025-12-06 02:15:00,11002
SVX,OVB,S7,2025-12-04 16:15:00,14057
SVX,OVB,S7,2025-12-04 10:20:00,14057
SVX,OVB,S7,2025-12-04 02:15:00,16532
SVX,OVB,S7,2025-12-05 02:15:00,11002
SVX,OVB,S7,2025-12-08 02:15:00,11002
SVX,OVB,S7,2025-11-29 10:20:00,14057
SVX,OVB,S7,2025-12-03 16:15:00,14057
SVX,OVB,S7,2025-11-30 10:20:00,22392
SVX,OVB,S7,2025-12-01 10:20:00,14057
SVX,OVB,S7,2025-12-08 16:15:00,14057
SVX,OVB,S7,2025-12-07 16:15:00,14057
SVX,OVB,S7,2025-12-03 10:20:00,14057
SVX,OVB,S7,2025-12-03 02:15:00,11002
SVX,OVB,S7,2025-12-06 10:20:00,14057
SVX,OVB,S7,2025-11-29 02:15:00,14057
